SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_NDA|Total_Notional_USD_NDA
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|CME_USD_IRS_3M_USD_LIBOR_0X36|CME_USD_IRS_3M_USD_LIBOR_0X36 USD_IRS_3M_USD_LIBOR|IR|S|FF|6M__30/360_vs_3M_3M_ACT/360|3M_USD_LIBOR|USD|CASH||N|N|Chicago Mercantile Exchange|SNZ2OJLFK8MNNCLQOF39|O|1.603|1.603|1.603|1.603|USD|500000000|500000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191015|EUR_10Y_HICPXT|EUR_10Y_HICPXT INSW_EUR_HICPXT|IR|S|INF|__30/360_vs__UNKN_30/360|_EUR_HICPXT|EUR|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.0575|1.0575|1.0575|1.0575|EUR|20000000|24482000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X108|IRS_EUR_3MEURI_USD_3MUSDL_0X108 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-16.75|-16.75|-16.75|-16.75|EUR|77500000|94867750
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X12|IRS_EUR_3MEURI_USD_3MUSDL_0X12 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-11.75|-12.125|-11.75|-12.125|EUR|556000000|680599600
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X120|IRS_EUR_3MEURI_USD_3MUSDL_0X120 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-17.125|-17.22|-17|-17|EUR|170000000|208097000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X24|IRS_EUR_3MEURI_USD_3MUSDL_0X24 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-12.125|-12.125|-12.125|-12.125|EUR|200000000|244820000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X36|IRS_EUR_3MEURI_USD_3MUSDL_0X36 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-12.75|-12.75|-12.625|-12.625|EUR|584500000|715486450
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X48|IRS_EUR_3MEURI_USD_3MUSDL_0X48 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-13.375|-13.375|-13.375|-13.375|EUR|250000000|306025000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X60|IRS_EUR_3MEURI_USD_3MUSDL_0X60 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-14|-14|-13.625|-13.625|EUR|474000000|580223400
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_EUR_3MEURI_USD_3MUSDL_0X72|IRS_EUR_3MEURI_USD_3MUSDL_0X72 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|EUR_3M_EURIBOR_USD_3M_USDLIBOR|EUR|CASH||N|N|||O|-14.75|-14.75|-14.75|-14.75|EUR|100000000|122410000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_GBP_3MGBPL_USD_3MUSDL_0X12|IRS_GBP_3MGBPL_USD_3MUSDL_0X12 IRS_GBP_3M_GBPLIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_AFI/360_vs_3M_3M_ACT/360|GBP_3M_GBPLIBOR_USD_3M_USDLIBOR|GBP|CASH||N|N|||O|5.375|5.375|5.375|5.375|GBP|150000000|209977500
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_GBP_3MGBPL_USD_3MUSDL_0X60|IRS_GBP_3MGBPL_USD_3MUSDL_0X60 IRS_GBP_3M_GBPLIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_AFI/360_vs_3M_3M_ACT/360|GBP_3M_GBPLIBOR_USD_3M_USDLIBOR|GBP|CASH||N|N|||O|8.5|8.5|8.5|8.5|GBP|105000000|146984250
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_GBP_3MGBPL_USD_3MUSDL_0X96|IRS_GBP_3MGBPL_USD_3MUSDL_0X96 IRS_GBP_3M_GBPLIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_3M_AFI/360_vs_3M_3M_ACT/360|GBP_3M_GBPLIBOR_USD_3M_USDLIBOR|GBP|CASH||N|N|||O|10.375|10.375|10.375|10.375|GBP|100000000|139985000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191018|IRS_GBP_SONI_GBP_3MGBPL_0X180|IRS_GBP_SONI_GBP_3MGBPL_0X180 IRS_GBP__SONIA_GBP_3M_GBPLIBOR|IR|S|FFL|3M_3M_AFI/360_vs_3M_3M_AFI/360|GBP__SONIA_GBP_3M_GBPLIBOR|GBP|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|0|0|0|0|GBP|15000000|20997750
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_USD_1DUSD-_USD_3MUSDL_0X60|IRS_USD_1DUSD-_USD_3MUSDL_0X60 IRS_USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR|IR|S|FFL|3M_1D_ACT/360_vs_3M_3M_ACT/360|USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|24.125|24.25|24.125|24.25|USD|300000000|300000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_USD_1DUSD-_USD_3MUSDL_0X84|IRS_USD_1DUSD-_USD_3MUSDL_0X84 IRS_USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR|IR|S|FFL|3M_1D_ACT/360_vs_3M_3M_ACT/360|USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|24|24|24|24|USD|100000000|100000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_USD_1MUSDL_USD_3MUSDL_0X120|IRS_USD_1MUSDL_USD_3MUSDL_0X120 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_1M_ACT/360_vs_3M_3M_ACT/360|USD_1M_USDLIBOR_USD_3M_USDLIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|10.875|10.875|10.875|10.875|USD|59000000|59000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_USD_1MUSDL_USD_3MUSDL_0X144|IRS_USD_1MUSDL_USD_3MUSDL_0X144 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR|IR|S|FFL|3M_1M_ACT/360_vs_3M_3M_ACT/360|USD_1M_USDLIBOR_USD_3M_USDLIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|10.75|10.75|10.75|10.75|USD|50000000|50000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|IRS_USD_USD-_USD_USD-_0X36|IRS_USD_USD-_USD_USD-_0X36 IRS_USD__USD-SOFR-COMPOUND_USD__USD-FEDFUNDS-H.15-OIS COMPOUND|IR|S|FFL|3M_3M_ACT/360_vs_3M_3M_ACT/360|USD__USD-SOFR-COMPOUND_USD__USD-FEDFUNDS-H.15-OIS COMPOUND|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|-2.75|-2.75|-2.75|-2.75|USD|175000000|175000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191018|LCH_GBP_IRS_6M_GBP_LIBOR_0X120|LCH_GBP_IRS_6M_GBP_LIBOR_0X120 GBP_IRS_6M_GBP_LIBOR|IR|S|FF|6M__AFI/360_vs_6M_6M_AFI/360|6M_GBP_LIBOR|GBP|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|0.9105|0.9105|0.9105|0.9105|GBP|38500000|53894225
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191018|LCH_GBP_IRS_6M_GBP_LIBOR_0X24|LCH_GBP_IRS_6M_GBP_LIBOR_0X24 GBP_IRS_6M_GBP_LIBOR|IR|S|FF|6M__AFI/360_vs_6M_6M_AFI/360|6M_GBP_LIBOR|GBP|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|0.808|0.808|0.808|0.808|GBP|100000000|139985000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191018|LCH_GBP_IRS_6M_GBP_LIBOR_0X240|LCH_GBP_IRS_6M_GBP_LIBOR_0X240 GBP_IRS_6M_GBP_LIBOR|IR|S|FF|6M__AFI/360_vs_6M_6M_AFI/360|6M_GBP_LIBOR|GBP|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.0175|1.0175|1.0175|1.0175|GBP|40000000|55994000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191018|LCH_GBP_IRS_6M_GBP_LIBOR_0X360|LCH_GBP_IRS_6M_GBP_LIBOR_0X360 GBP_IRS_6M_GBP_LIBOR|IR|S|FF|6M__AFI/360_vs_6M_6M_AFI/360|6M_GBP_LIBOR|GBP|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.0275|1.0275|1.0275|1.0275|GBP|13900000|19457915
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|LCH_USD_IRS_3M_USD_LIBOR_0X120|LCH_USD_IRS_3M_USD_LIBOR_0X120 USD_IRS_3M_USD_LIBOR|IR|S|FF|6M__30/360_vs_3M_3M_ACT/360|3M_USD_LIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.68875|1.68875|1.66438|1.67213|USD|528000000|528000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|LCH_USD_IRS_3M_USD_LIBOR_0X144|LCH_USD_IRS_3M_USD_LIBOR_0X144 USD_IRS_3M_USD_LIBOR|IR|S|FF|6M__30/360_vs_3M_3M_ACT/360|3M_USD_LIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.74|1.74|1.74|1.74|USD|300000000|300000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|LCH_USD_IRS_3M_USD_LIBOR_0X180|LCH_USD_IRS_3M_USD_LIBOR_0X180 USD_IRS_3M_USD_LIBOR|IR|S|FF|6M__30/360_vs_3M_3M_ACT/360|3M_USD_LIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.7975|1.7975|1.7975|1.7975|USD|122000000|122000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|LCH_USD_IRS_3M_USD_LIBOR_0X24|LCH_USD_IRS_3M_USD_LIBOR_0X24 USD_IRS_3M_USD_LIBOR|IR|S|FF|6M__30/360_vs_3M_3M_ACT/360|3M_USD_LIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.64|1.64|1.64|1.64|USD|100000000|100000000
 ICAP GLOBAL DERIVATIVES LTD|213800C2MCT5QBE5VW36|20191018|20191022|LCH_USD_IRS_3M_USD_LIBOR_0X36|LCH_USD_IRS_3M_USD_LIBOR_0X36 USD_IRS_3M_USD_LIBOR|IR|S|FF|6M__30/360_vs_3M_3M_ACT/360|3M_USD_LIBOR|USD|CASH||N|N|LCH Limited|F226TOH6YD6XJB17KS62|O|1.6|1.6|1.6|1.6|USD|500000000|500000000
